keys,en,ru
btouch,Bad Touch,Прнкновение
beer,Beer,Пиво
bjane,Bleed Jane,Кровосток
blight,Bloom Lght,Свечение
bfairy,Blue Fairy,Голуб. Фея
btini,Brandtini,Брендини
cvelvet,Cobalt Vlvt,Син. Бархат
cspike,Crv Spike,Жид. Кактус
fmoai,Flmng Moai,Огн. Моаи
fdream,Flff Dream,Кис. Грёзы
fweaver,Frng Weavr,Бон Развяз
fwater,Frothy Wtr,Пенная вода
gtemple,Grizz Tmpl,Зел. Слоник
gpunch,Gut Punch,Удр в печень
mablast,Marsblast,Марс. Взрыв
meblast,Mercryblst,Мерк. Взрыв
moblast,Moonblast,Лун. Взрыв
pman,Piano Man,Пианист
pwman,P. Woman,Пианистка
pdriver,Piledriver,Пайлдрайвер
sstar,Spark Star,Бенг. Огонь
srush,Sugar Rush,Сах. Прилив
scloud,Sun Cloud,Зол. Облако
splex,Suplex,Суплекс
zstar,Zen Star,Сткн Сансары
